number,value,params_overbought_level,params_oversold_level,params_rsi_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
71,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
72,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
73,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
74,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
75,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
76,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
77,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
78,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
79,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
80,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
81,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
82,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
83,-9.882986967981365,55,40,20,2.248949963386014e-06,10061.472056435949,10000.0,7,0.5095473963721303,61.472056435948616,0.006147205643594944,-9.882986967981365,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 55}",0.006128388650226888,25,18
84,-9.12900395951456,60,40,20,1.5320855058113095e-06,10041.836601770221,10000.0,3,0.743549923121403,41.83660177022102,0.004183660177022208,-9.12900395951456,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 60}",0.004174933003335818,20,17
85,-2.4544427326581437,80,40,20,8.952135545253288e-06,10246.945512104377,10000.0,0,0.8413037112012874,246.94551210437749,0.024694551210437732,-2.4544427326581437,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 80}",0.02439456936081521,4,3
86,-9.882986967981365,55,40,20,2.248949963386014e-06,10061.472056435949,10000.0,7,0.5095473963721303,61.472056435948616,0.006147205643594944,-9.882986967981365,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 55}",0.006128388650226888,25,18
87,-2.4544427326581437,80,40,20,8.952135545253288e-06,10246.945512104377,10000.0,0,0.8413037112012874,246.94551210437749,0.024694551210437732,-2.4544427326581437,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 80}",0.02439456936081521,4,3
88,-2.4544427326581437,80,40,20,8.952135545253288e-06,10246.945512104377,10000.0,0,0.8413037112012874,246.94551210437749,0.024694551210437732,-2.4544427326581437,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 80}",0.02439456936081521,4,3
89,-9.882986967981365,55,40,20,2.248949963386014e-06,10061.472056435949,10000.0,7,0.5095473963721303,61.472056435948616,0.006147205643594944,-9.882986967981365,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 55}",0.006128388650226888,25,18
90,-2.4544427326581437,80,40,20,8.952135545253288e-06,10246.945512104377,10000.0,0,0.8413037112012874,246.94551210437749,0.024694551210437732,-2.4544427326581437,"{'rsi_period': 20, 'oversold_level': 40, 'overbought_level': 80}",0.02439456936081521,4,3
91,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
92,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
93,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
94,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
95,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
96,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
97,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
98,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
99,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
100,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
101,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
102,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
103,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
104,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
105,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
106,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
107,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
108,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
109,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
110,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
111,-2.440219413962049,75,45,18,9.250312338320375e-06,10255.274864260633,10000.0,1,0.7281275205315819,255.27486426063297,0.025527486426063284,-2.440219413962049,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 75}",0.02520710112192302,11,9
112,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
113,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
114,-2.440219413962049,75,45,18,9.250312338320375e-06,10255.274864260633,10000.0,1,0.7281275205315819,255.27486426063297,0.025527486426063284,-2.440219413962049,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 75}",0.02520710112192302,11,9
115,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
116,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
117,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
118,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
119,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
120,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
121,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
122,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
123,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
124,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
125,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
126,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
127,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
128,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
